InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV500011,P1027,Desk Plant,Home,2,2025-07-11 10:43:00,358.79,C10262,Netherlands
INV500011,P1029,Cotton Bedsheet,Home,2,2025-07-11 10:43:00,1421.8,C10262,Netherlands
INV500011,P1028,Gift Wrapping Paper,Stationery,3,2025-07-11 10:43:00,156.65,,Netherlands
INV500011,P1014,,Travel,3,2025-07-11 10:43:00,1489.04,C10262,Netherlands
INV500012,P1007,Ceramic Coffee Mug,Home,2,2025-11-21 08:05:00,322.85,C10146,United Kingdom
INV500012,P1013,LED Table Lamp,Home,3,2025-11-21 08:05:00,1380.35,C10146,United Kingdom
INV500012,P1014,Travel Backpack,Travel,4,2025-11-21 08:05:00,1376.7,C10146,United Kingdom
INV500012,P1015,,Travel,1,2025-11-21 08:05:00,239.61,C10146,United Kingdom
INV500013,P1024,Laptop Sleeve,Accessories,1,2025-05-29 13:07:00,909.54,C10262,Netherlands
INV500014,P1003,Running Shoes,Footwear,2,2025-01-22 14:01:00,2413.02,C10760,United Kingdom
INV500014,P1028,Gift Wrapping Paper,Stationery,8,2025-01-22 14:01:00,146.86,C10760,United Kingdom
INV500015,P1024,Laptop Sleeve,Accessories,3,2025-09-26 09:25:00,908.9,C10411,France
INV500015,P1011,Desk Organizer,Office,1,2025-09-26 09:25:00,384.8,C10411,France
INV500015,P1008,Scented Candle Set,Home,8,2025-09-26 09:25:00,626.59,C10411,France
INV500015,P1025,Kitchen Storage Jars,Home,3,2025-09-26 09:25:00,938.95,C10411,France
INV500015,P1006,Wireless Mouse,Electronics,3,2025-09-26 09:25:00,773.57,C10411,France
INV500016,P1028,Gift Wrapping Paper,Stationery,2,2025-05-27 09:41:00,164.65,C10378,United Kingdom
INV500016,P1003,Running Shoes,Footwear,2,2025-05-27 09:41:00,2184.9,C10378,United Kingdom
INV500016,P1020,USB-C Cable,Electronics,2,2025-05-27 09:41:00,175.54,C10378,United Kingdom
INV500016,P1017,Sunscreen SPF 50,Beauty,2,2025-05-27 09:41:00,460.0,C10378,United Kingdom
INV500016,P1013,LED Table Lamp,Home,1,2025-05-27 09:41:00,1109.37,C10378,United Kingdom
INV500017,P1030,Sports Socks Pack,Apparel,3,2025-06-20 09:37:00,287.37,C10154,United Kingdom
INV500017,P1012,Notebook Pack,Office,4,2025-06-20 09:37:00,211.19,C10154,United Kingdom
INV500017,P1010,Protein Shaker,Fitness,2,2025-06-20 09:37:00,331.64,C10154,United Kingdom
INV500018,P1026,Smart Watch Strap,Electronics,2,2025-03-12 10:04:00,433.28,C10232,United Kingdom
INV500018,P1004,Leather Wallet,Accessories,1,2025-03-12 10:04:00,707.2,C10232,United Kingdom
INV500019,P1024,Laptop Sleeve,Accessories,2,2025-05-02 15:39:00,837.34,C10374,India
INV500019,P1026,Smart Watch Strap,Electronics,12,2025-05-02 15:39:00,393.5,C10374,India
INV500020,P1021,Premium Tea Pack,Grocery,2,2025-11-06 10:55:00,341.92,C10821,France
INV500020,P1016,Face Serum,Beauty,6,2025-11-06 10:55:00,784.87,C10821,France
INV500021,P1008,Scented Candle Set,Home,1,2025-08-01 08:25:00,691.9,C10028,United Kingdom
INV500021,P1013,LED Table Lamp,Home,-5,2025-08-01 08:25:00,1390.69,C10028,United Kingdom
INV500021,P1003,Running Shoes,Footwear,1,2025-08-01 08:25:00,2800.35,C10028,United Kingdom
INV500022,P1026,Smart Watch Strap,Electronics,1,2025-03-04 08:15:00,457.2,C10309,France
INV500022,P1020,USB-C Cable,Electronics,2,2025-03-04 08:15:00,207.22,C10309,France
INV500023,P1017,Sunscreen SPF 50,Beauty,1,2025-09-27 16:32:00,478.68,C10070,United Kingdom
INV500023,P1018,Hair Care Kit,Beauty,3,2025-09-27 16:32:00,856.46,C10070,United Kingdom
INV500023,P1001,Organic Cotton T-Shirt,Apparel,3,2025-09-27 16:32:00,558.35,C10070,United Kingdom
INV500023,P1013,LED Table Lamp,Home,3,2025-09-27 16:32:00,1506.45,,United Kingdom
INV500024,P1009,Yoga Mat,Fitness,1,2025-09-21 14:52:00,1129.24,C10318,India
INV500024,P1002,Denim Jacket,Apparel,2,2025-09-21 14:52:00,1857.8,C10318,India
INV500024,P1025,Kitchen Storage Jars,Home,4,2025-09-21 14:52:00,731.9,C10318,India
INV500025,P1010,Protein Shaker,Fitness,2,2025-06-14 09:05:00,372.84,C10301,Spain
INV500025,P1015,Luggage Tag Set,Travel,1,2025-06-14 09:05:00,292.03,C10301,Spain
INV500026,P1022,Dark Chocolate Box,Grocery,4,2025-03-23 08:09:00,522.58,C10696,India
INV500026,P1026,Smart Watch Strap,Electronics,2,2025-03-23 08:09:00,436.79,C10696,India
INV500026,P1015,Luggage Tag Set,Travel,1,2025-03-23 08:09:00,270.13,C10696,India
INV500026,P1002,Denim Jacket,Apparel,2,2025-03-23 08:09:00,2238.34,C10696,India
INV500026,P1005,Bluetooth Speaker,Electronics,2,2025-03-23 08:09:00,2514.61,C10696,India
INV500027,P1010,Protein Shaker,Fitness,3,2025-02-03 16:34:00,374.16,C10356,United Kingdom
INV500027,P1028,Gift Wrapping Paper,Stationery,1,2025-02-03 16:34:00,148.68,C10356,United Kingdom
INV500028,P1024,Laptop Sleeve,Accessories,1,2025-02-03 12:25:00,761.18,C10089,United Kingdom
INV500028,P1016,Face Serum,Beauty,3,2025-02-03 12:25:00,985.66,C10089,United Kingdom
INV500028,P1017,Sunscreen SPF 50,Beauty,1,2025-02-03 12:25:00,438.28,C10089,United Kingdom
INV500028,P1014,Travel Backpack,Travel,1,2025-02-03 12:25:00,1424.18,C10089,United Kingdom
INV500028,P1025,Kitchen Storage Jars,Home,3,2025-02-03 12:25:00,825.41,C10089,United Kingdom
INV500028,P1027,Desk Plant,Home,6,2025-02-03 12:25:00,291.36,C10089,United Kingdom
INV500028,P1019,Phone Stand,Electronics,1,2025-02-03 12:25:00,306.76,C10089,United Kingdom
INV500028,P1003,Running Shoes,Footwear,1,2025-02-03 12:25:00,2269.48,C10089,United Kingdom
INV500029,P1005,Bluetooth Speaker,Electronics,1,2025-09-05 15:13:00,2585.34,C10426,United Kingdom
INV500029,P1011,Desk Organizer,Office,1,2025-09-05 15:13:00,387.98,C10426,United Kingdom
INV500030,P1011,Desk Organizer,Office,3,2025-05-08 21:57:00,398.86,C10429,Germany
INV500031,P1007,Ceramic Coffee Mug,Home,5,2025-07-21 16:29:00,315.6,C10093,France
INV500031,P1019,Phone Stand,Electronics,3,2025-07-21 16:29:00,327.4,C10093,France
INV500031,P1012,Notebook Pack,Office,1,2025-07-21 16:29:00,199.3,C10093,France
INV500031,P1002,Denim Jacket,Apparel,12,2025-07-21 16:29:00,1826.47,C10093,France
INV500031,P1027,Desk Plant,Home,2,2025-07-21 16:29:00,349.01,C10093,France
INV500031,P1010,Protein Shaker,Fitness,3,2025-07-21 16:29:00,350.95,C10093,France
INV500032,P1018,Hair Care Kit,Beauty,4,2025-10-31 13:32:00,951.66,C10307,United Kingdom
INV500032,P1016,Face Serum,Beauty,3,2025-10-31 13:32:00,745.8,C10307,United Kingdom
INV500032,P1023,Water Bottle,Fitness,3,2025-10-31 13:32:00,617.01,C10307,United Kingdom
INV500032,P1019,Phone Stand,Electronics,3,2025-10-31 13:32:00,248.58,C10307,United Kingdom
INV500033,P1030,Sports Socks Pack,Apparel,3,2025-04-15 14:32:00,301.01,C10708,United Kingdom
INV500033,P1016,Face Serum,Beauty,2,2025-04-15 14:32:00,909.72,C10708,United Kingdom
INV500033,P1028,Gift Wrapping Paper,Stationery,1,2025-04-15 14:32:00,148.15,C10708,United Kingdom
INV500033,P1024,Laptop Sleeve,Accessories,4,2025-04-15 14:32:00,965.31,C10708,United Kingdom
INV500034,P1018,Hair Care Kit,Beauty,4,2025-05-21 12:07:00,1162.5,C10739,United Kingdom
INV500034,P1013,LED Table Lamp,Home,2,2025-05-21 12:07:00,1185.1,C10739,United Kingdom
INV500034,P1029,Cotton Bedsheet,Home,1,2025-05-21 12:07:00,1353.1,C10739,United Kingdom
CINV500035,P1004,Leather Wallet,Accessories,-2,2025-02-21 14:21:00,922.43,C10054,Portugal
CINV500035,P1022,Dark Chocolate Box,Grocery,-10,2025-02-21 14:21:00,513.66,C10054,Portugal
CINV500035,P1025,Kitchen Storage Jars,Home,-3,2025-02-21 14:21:00,924.6,C10054,Portugal
CINV500035,P1005,Bluetooth Speaker,Electronics,-20,2025-02-21 14:21:00,2117.46,C10054,Portugal
INV500036,P1011,Desk Organizer,Office,12,2025-06-02 17:38:00,456.0,C10010,United Kingdom
INV500037,P1009,Yoga Mat,Fitness,3,2025-06-19 10:46:00,1103.57,C10116,Netherlands
INV500037,P1023,Water Bottle,Fitness,4,2025-06-19 10:46:00,602.3,C10116,Netherlands
INV500038,P1025,Kitchen Storage Jars,Home,1,2025-01-04 12:24:00,863.11,,Singapore
INV500038,P1009,Yoga Mat,Fitness,1,2025-01-04 12:24:00,964.98,C10255,Singapore
INV500039,P1005,Bluetooth Speaker,Electronics,4,2025-07-08 17:14:00,2282.71,C10303,EIRE
INV500039,P1016,Face Serum,Beauty,1,2025-07-08 17:14:00,817.27,C10303,EIRE
INV500040,P1029,Cotton Bedsheet,Home,1,2025-10-16 09:03:00,1464.77,C10080,United Kingdom
INV500040,P1017,Sunscreen SPF 50,Beauty,2,2025-10-16 09:03:00,419.17,C10080,United Kingdom
INV500040,P1007,,Home,1,2025-10-16 09:03:00,247.52,C10080,United Kingdom
INV500040,P1019,Phone Stand,Electronics,3,2025-10-16 09:03:00,303.43,C10080,United Kingdom
INV500041,P1021,Premium Tea Pack,Grocery,3,2025-03-11 20:41:00,404.65,C10185,United Kingdom
INV500041,P1014,Travel Backpack,Travel,3,2025-03-11 20:41:00,1439.37,,United Kingdom
INV500041,P1012,Notebook Pack,Office,2,2025-03-11 20:41:00,222.17,C10185,United Kingdom
INV500041,P1013,LED Table Lamp,Home,1,2025-03-11 20:41:00,1443.72,C10185,United Kingdom
INV500041,P1015,Luggage Tag Set,Travel,1,2025-03-11 20:41:00,207.19,C10185,United Kingdom
INV500041,P1027,Desk Plant,Home,1,2025-03-11 20:41:00,313.48,C10185,United Kingdom
INV500041,P1025,Kitchen Storage Jars,Home,3,2025-03-11 20:41:00,746.91,C10185,United Kingdom
INV500041,P1003,Running Shoes,Footwear,3,2025-03-11 20:41:00,2248.04,C10185,United Kingdom
INV500042,P1012,Notebook Pack,Office,3,2025-08-07 16:31:00,219.48,C10642,United Kingdom
INV500043,P1023,Water Bottle,Fitness,6,2025-05-04 21:14:00,612.45,C10485,EIRE
INV500043,P1005,Bluetooth Speaker,Electronics,3,2025-05-04 21:14:00,2533.25,C10485,EIRE
INV500044,P1007,Ceramic Coffee Mug,Home,1,2025-11-06 17:02:00,267.66,C10690,India
INV500044,P1026,Smart Watch Strap,Electronics,4,2025-11-06 17:02:00,434.46,C10690,India
INV500044,P1025,Kitchen Storage Jars,Home,1,2025-11-06 17:02:00,747.69,C10690,India
INV500044,P1019,Phone Stand,Electronics,5,2025-11-06 17:02:00,295.34,C10690,India
INV500044,P1024,Laptop Sleeve,Accessories,1,2025-11-06 17:02:00,751.98,C10690,India
INV500045,P1008,Scented Candle Set,Home,5,2025-08-02 12:09:00,598.85,C10738,United Kingdom
INV500046,P1012,Notebook Pack,Office,1,2025-09-09 15:10:00,226.89,C10658,India
INV500046,P1006,Wireless Mouse,Electronics,4,2025-09-09 15:10:00,585.39,,India
INV500046,P1005,Bluetooth Speaker,Electronics,1,2025-09-09 15:10:00,2164.18,C10658,India
INV500046,P1024,Laptop Sleeve,Accessories,1,2025-09-09 15:10:00,909.43,C10658,India
INV500047,P1030,Sports Socks Pack,Apparel,1,2025-08-09 20:58:00,265.84,C10515,Germany
INV500048,P1008,,Home,2,2025-08-24 17:15:00,610.36,C10416,United Kingdom
INV500048,P1010,Protein Shaker,Fitness,4,2025-08-24 17:15:00,357.27,C10416,United Kingdom
INV500048,P1022,Dark Chocolate Box,Grocery,5,2025-08-24 17:15:00,625.6,C10416,United Kingdom
INV500048,P1027,Desk Plant,Home,2,2025-08-24 17:15:00,290.31,C10416,United Kingdom
INV500048,P1003,Running Shoes,Footwear,3,2025-08-24 17:15:00,2407.5,C10416,United Kingdom
INV500048,P1021,Premium Tea Pack,Grocery,6,2025-08-24 17:15:00,374.83,C10416,United Kingdom
INV500048,P1025,Kitchen Storage Jars,Home,10,2025-08-24 17:15:00,670.63,C10416,United Kingdom
INV500048,P1002,Denim Jacket,Apparel,2,2025-08-24 17:15:00,2086.01,,United Kingdom
INV500049,P1013,LED Table Lamp,Home,4,2025-08-10 10:43:00,1398.66,C10385,United Kingdom
INV500049,P1003,Running Shoes,Footwear,1,2025-08-10 10:43:00,2145.04,,United Kingdom
INV500049,P1025,Kitchen Storage Jars,Home,1,2025-08-10 10:43:00,784.29,C10385,United Kingdom
INV500050,P1014,Travel Backpack,Travel,1,2025-06-16 21:24:00,1829.91,C10613,India
INV500051,P1003,Running Shoes,Footwear,1,2025-05-18 12:17:00,2753.3,C10143,United Kingdom
INV500051,P1006,Wireless Mouse,Electronics,2,2025-05-18 12:17:00,607.27,,United Kingdom
INV500051,P1014,Travel Backpack,Travel,2,2025-05-18 12:17:00,1559.06,C10143,United Kingdom
INV500052,P1013,LED Table Lamp,Home,1,2025-04-13 15:20:00,1390.17,C10712,India
INV500053,P1019,Phone Stand,Electronics,2,2025-07-06 09:59:00,347.76,C10403,United Kingdom
INV500053,P1018,Hair Care Kit,Beauty,4,2025-07-06 09:59:00,1105.33,C10403,United Kingdom
INV500053,P1006,Wireless Mouse,Electronics,3,2025-07-06 09:59:00,771.74,C10403,United Kingdom
INV500054,P1012,Notebook Pack,Office,3,2025-08-03 16:02:00,169.27,C10709,United Kingdom
INV500054,P1023,Water Bottle,Fitness,12,2025-08-03 16:02:00,637.27,C10709,United Kingdom
INV500054,P1029,Cotton Bedsheet,Home,1,2025-08-03 16:02:00,1303.99,C10709,United Kingdom
INV500054,P1026,Smart Watch Strap,Electronics,4,2025-08-03 16:02:00,411.73,C10709,United Kingdom
INV500055,P1010,Protein Shaker,Fitness,4,2025-03-01 21:46:00,351.65,C10088,United Kingdom
INV500056,P1004,Leather Wallet,Accessories,8,2025-02-28 08:54:00,868.17,C10046,United Kingdom
INV500056,P1022,Dark Chocolate Box,Grocery,4,2025-02-28 08:54:00,574.65,C10046,United Kingdom
INV500057,P1007,Ceramic Coffee Mug,Home,4,2025-10-31 14:24:00,332.23,C10461,United Kingdom
INV500058,P1017,Sunscreen SPF 50,Beauty,3,2025-02-28 12:42:00,471.68,C10469,India
INV500058,P1021,Premium Tea Pack,Grocery,3,2025-02-28 12:42:00,339.35,C10469,India
INV500058,P1011,Desk Organizer,Office,2,2025-02-28 12:42:00,435.78,C10469,India
INV500058,P1020,USB-C Cable,Electronics,3,2025-02-28 12:42:00,234.81,C10469,India
INV500058,P1013,LED Table Lamp,Home,1,2025-02-28 12:42:00,1233.08,,India
INV500059,P1027,Desk Plant,Home,1,2025-07-29 18:31:00,290.06,C10507,United Kingdom
INV500059,P1015,Luggage Tag Set,Travel,2,2025-07-29 18:31:00,270.74,C10507,United Kingdom
INV500060,P1025,Kitchen Storage Jars,Home,2,2025-07-07 16:52:00,866.88,C10844,EIRE
INV500060,P1024,Laptop Sleeve,Accessories,5,2025-07-07 16:52:00,765.33,C10844,EIRE
INV500060,P1015,Luggage Tag Set,Travel,3,2025-07-07 16:52:00,281.36,C10844,EIRE
INV500060,P1018,Hair Care Kit,Beauty,4,2025-07-07 16:52:00,1024.2,C10844,EIRE
INV500061,P1022,Dark Chocolate Box,Grocery,1,2025-05-17 21:32:00,621.35,C10587,United Kingdom
INV500061,P1027,Desk Plant,Home,2,2025-05-17 21:32:00,358.73,C10587,United Kingdom
INV500061,P1004,Leather Wallet,Accessories,1,2025-05-17 21:32:00,803.49,C10587,United Kingdom
INV500061,P1005,Bluetooth Speaker,Electronics,1,2025-05-17 21:32:00,2416.02,C10587,United Kingdom
INV500061,P1025,Kitchen Storage Jars,Home,1,2025-05-17 21:32:00,808.9,C10587,United Kingdom
INV500061,P1014,Travel Backpack,Travel,2,2025-05-17 21:32:00,1643.86,C10587,United Kingdom
INV500061,P1002,Denim Jacket,Apparel,1,2025-05-17 21:32:00,-2093.08,C10587,United Kingdom
INV500061,P1009,Yoga Mat,Fitness,10,2025-05-17 21:32:00,891.94,C10587,United Kingdom
INV500062,P1012,Notebook Pack,Office,1,2025-02-17 18:23:00,191.57,C10281,Germany
INV500062,P1022,Dark Chocolate Box,Grocery,1,2025-02-17 18:23:00,544.42,C10281,Germany
INV500063,P1016,Face Serum,Beauty,4,2025-03-03 21:27:00,770.58,C10837,India
INV500063,P1003,Running Shoes,Footwear,3,2025-03-03 21:27:00,2658.36,C10837,India
INV500063,P1008,Scented Candle Set,Home,1,2025-03-03 21:27:00,652.54,C10837,India
INV500063,P1013,LED Table Lamp,Home,1,2025-03-03 21:27:00,1122.77,C10837,India
INV500064,P1024,Laptop Sleeve,Accessories,3,2025-02-13 11:35:00,1011.59,C10661,United Kingdom
INV500064,P1020,USB-C Cable,Electronics,1,2025-02-13 11:35:00,167.09,C10661,United Kingdom
INV500064,P1010,Protein Shaker,Fitness,3,2025-02-13 11:35:00,352.55,C10661,United Kingdom
INV500065,P1025,Kitchen Storage Jars,Home,1,2025-08-04 13:34:00,717.24,C10583,EIRE
INV500065,P1016,Face Serum,Beauty,4,2025-08-04 13:34:00,874.27,C10583,EIRE
INV500065,P1003,Running Shoes,Footwear,1,2025-08-04 13:34:00,2877.68,C10583,EIRE
INV500065,P1001,Organic Cotton T-Shirt,Apparel,3,2025-08-04 13:34:00,524.72,C10583,EIRE
INV500066,P1010,,Fitness,1,2025-03-01 15:39:00,287.77,C10445,Netherlands
INV500066,P1022,Dark Chocolate Box,Grocery,4,2025-03-01 15:39:00,501.42,C10445,Netherlands
INV500066,P1024,Laptop Sleeve,Accessories,6,2025-03-01 15:39:00,845.6,C10445,Netherlands
INV500067,P1028,Gift Wrapping Paper,Stationery,2,2025-08-22 16:23:00,135.86,C10509,United Kingdom
INV500068,P1013,LED Table Lamp,Home,10,2025-01-07 11:02:00,1081.72,C10046,United Kingdom
INV500068,P1030,Sports Socks Pack,Apparel,6,2025-01-07 11:02:00,279.62,C10046,United Kingdom
INV500068,P1005,Bluetooth Speaker,Electronics,1,2025-01-07 11:02:00,2211.49,C10046,United Kingdom
INV500069,P1012,Notebook Pack,Office,4,2025-06-17 09:35:00,216.16,C10319,United Kingdom
INV500069,P1007,Ceramic Coffee Mug,Home,3,2025-06-17 09:35:00,304.01,C10319,United Kingdom
INV500070,P1013,LED Table Lamp,Home,2,2025-01-05 13:00:00,1176.56,C10652,United Kingdom
INV500070,P1028,Gift Wrapping Paper,Stationery,6,2025-01-05 13:00:00,170.31,C10652,United Kingdom
INV500070,P1024,Laptop Sleeve,Accessories,1,2025-01-05 13:00:00,780.39,C10652,United Kingdom
INV500070,P1010,Protein Shaker,Fitness,1,2025-01-05 13:00:00,318.97,C10652,United Kingdom
INV500071,P1025,Kitchen Storage Jars,Home,1,2025-04-30 09:12:00,702.46,C10279,United Kingdom
INV500072,P1006,Wireless Mouse,Electronics,1,2025-08-26 12:54:00,750.51,C10316,Netherlands
CINV500073,P1009,Yoga Mat,Fitness,-2,2025-07-22 16:03:00,981.81,C10365,United Kingdom
CINV500073,P1027,Desk Plant,Home,-1,2025-07-22 16:03:00,390.51,C10365,United Kingdom
CINV500073,P1006,Wireless Mouse,Electronics,-3,2025-07-22 16:03:00,719.72,C10365,United Kingdom
INV500074,P1026,Smart Watch Strap,Electronics,6,2025-03-07 09:57:00,389.4,C10455,United Kingdom
INV500074,P1011,Desk Organizer,Office,6,2025-03-07 09:57:00,412.63,C10455,United Kingdom
INV500074,P1004,Leather Wallet,Accessories,2,2025-03-07 09:57:00,909.1,C10455,United Kingdom
INV500074,P1002,Denim Jacket,Apparel,4,2025-03-07 09:57:00,1727.51,C10455,United Kingdom
INV500074,P1015,Luggage Tag Set,Travel,2,2025-03-07 09:57:00,274.23,C10455,United Kingdom
INV500075,P1009,Yoga Mat,Fitness,4,2025-04-23 08:57:00,1178.68,C10612,United Kingdom
INV500075,P1002,Denim Jacket,Apparel,6,2025-04-23 08:57:00,1595.4,C10612,United Kingdom
INV500075,P1026,Smart Watch Strap,Electronics,5,2025-04-23 08:57:00,448.59,C10612,United Kingdom
INV500075,P1016,Face Serum,Beauty,1,2025-04-23 08:57:00,963.91,C10612,United Kingdom
INV500076,P1003,Running Shoes,Footwear,1,2025-10-05 12:11:00,2479.2,C10505,United Kingdom
INV500076,P1002,Denim Jacket,Apparel,4,2025-10-05 12:11:00,2150.73,C10505,United Kingdom
INV500076,P1008,Scented Candle Set,Home,2,2025-10-05 12:11:00,569.86,C10505,United Kingdom
INV500077,P1026,Smart Watch Strap,Electronics,2,2025-03-11 10:46:00,454.96,C10331,France
INV500077,P1021,,Grocery,3,2025-03-11 10:46:00,369.48,C10331,France
INV500077,P1016,Face Serum,Beauty,4,2025-03-11 10:46:00,920.84,C10331,France
INV500077,P1029,Cotton Bedsheet,Home,1,2025-03-11 10:46:00,1297.22,C10331,France
INV500077,P1011,Desk Organizer,Office,10,2025-03-11 10:46:00,500.99,C10331,France
INV500077,P1006,Wireless Mouse,Electronics,3,2025-03-11 10:46:00,661.38,C10331,France
INV500078,P1018,Hair Care Kit,Beauty,2,2025-07-31 15:56:00,1129.93,C10171,Portugal
INV500078,P1013,LED Table Lamp,Home,1,2025-07-31 15:56:00,1214.22,C10171,Portugal
INV500079,P1029,Cotton Bedsheet,Home,1,2025-02-17 13:38:00,1112.53,C10561,United Kingdom
INV500079,P1016,Face Serum,Beauty,1,2025-02-17 13:38:00,828.29,C10561,United Kingdom
INV500079,P1023,Water Bottle,Fitness,2,2025-02-17 13:38:00,583.39,C10561,United Kingdom
INV500079,P1001,Organic Cotton T-Shirt,Apparel,1,2025-02-17 13:38:00,461.6,C10561,United Kingdom
INV500079,P1014,Travel Backpack,Travel,3,2025-02-17 13:38:00,1363.64,C10561,United Kingdom
INV500079,P1021,Premium Tea Pack,Grocery,1,2025-02-17 13:38:00,393.98,C10561,United Kingdom
INV500079,P1006,Wireless Mouse,Electronics,1,2025-02-17 13:38:00,659.69,C10561,United Kingdom
INV500079,P1020,USB-C Cable,Electronics,4,2025-02-17 13:38:00,193.17,C10561,United Kingdom
INV500080,P1017,Sunscreen SPF 50,Beauty,12,2025-07-22 22:54:00,435.67,C10081,United Kingdom
INV500080,P1019,Phone Stand,Electronics,1,2025-07-22 22:54:00,249.77,C10081,United Kingdom
INV500080,P1029,Cotton Bedsheet,Home,3,2025-07-22 22:54:00,1214.71,C10081,United Kingdom
INV500080,P1026,Smart Watch Strap,Electronics,5,2025-07-22 22:54:00,401.83,C10081,United Kingdom
INV500081,P1019,Phone Stand,Electronics,2,2025-08-01 10:09:00,256.05,C10116,Netherlands
INV500081,P1025,Kitchen Storage Jars,Home,2,2025-08-01 10:09:00,830.34,,Netherlands
INV500081,P1004,Leather Wallet,Accessories,1,2025-08-01 10:09:00,911.06,C10116,Netherlands
INV500082,P1009,Yoga Mat,Fitness,3,2025-06-22 21:50:00,854.5,C10021,France
INV500082,P1027,Desk Plant,Home,1,2025-06-22 21:50:00,338.54,C10021,France
INV500083,P1017,Sunscreen SPF 50,Beauty,2,2025-09-22 21:23:00,433.55,C10778,Spain
INV500083,P1026,Smart Watch Strap,Electronics,5,2025-09-22 21:23:00,363.02,C10778,Spain
INV500083,P1006,Wireless Mouse,Electronics,2,2025-09-22 21:23:00,733.07,C10778,Spain
INV500083,P1003,Running Shoes,Footwear,5,2025-09-22 21:23:00,2577.16,C10778,Spain
INV500084,P1019,Phone Stand,Electronics,1,2025-01-15 14:03:00,269.01,C10292,France
INV500085,P1006,Wireless Mouse,Electronics,1,2025-01-05 15:58:00,636.69,C10786,EIRE
INV500086,P1010,Protein Shaker,Fitness,3,2025-06-28 15:16:00,359.61,,United Kingdom
INV500086,P1022,Dark Chocolate Box,Grocery,3,2025-06-28 15:16:00,506.05,C10386,United Kingdom
INV500087,P1021,Premium Tea Pack,Grocery,1,2025-05-14 18:45:00,450.32,C10284,United Kingdom
INV500087,P1010,Protein Shaker,Fitness,2,2025-05-14 18:45:00,323.32,C10284,United Kingdom
INV500087,P1007,Ceramic Coffee Mug,Home,4,2025-05-14 18:45:00,282.12,C10284,United Kingdom
INV500087,P1005,Bluetooth Speaker,Electronics,2,2025-05-14 18:45:00,2040.83,C10284,United Kingdom
INV500087,P1017,Sunscreen SPF 50,Beauty,4,2025-05-14 18:45:00,539.45,C10284,United Kingdom
INV500087,P1025,Kitchen Storage Jars,Home,1,2025-05-14 18:45:00,719.42,C10284,United Kingdom
